Computer Science and Engineering,CSCI1120,Introduction to Computing Using C++,CSC3002,C/C++ Programming
Computer Science and Engineering,AIST3020,Introduction to Computer Systems,CSC3050,Computer Architecture
Computer Science and Engineering,CSCI3150,Introduction to Operating Systems,CSC3150,Operating System
Computer Science and Engineering,CSCI3230,Fundamentals of Artificial Intelligence,CSC3180,Fundamentals of Artificial Intelligence
Computer Science and Engineering,SEEM4570,System Design and Implementation,CSC3185,Introduction to Multimedia Systems
Computer Science and Engineering,CSCI4160,Distributed and Parallel Computing,CSC4005,Parallel Programming
Computer Science and Engineering,SEEM3510,Human-computer Interaction,CSC4130,Introduction to Human- Computer Interaction
Computer Science and Engineering,CSCI3260,Principles of Computer Graphics,CSC4140,Computer Graphics
Computer Science and Engineering,IERG4230,Introduction to Internet of Things,CSC4150,Mobile Computing with Internet of Things
Computer Science and Engineering,SEEM4998,Final Year Project I,CSC4051,Computing Capstone for Interdisciplinary Studies
Computer Science and Engineering,AIST4010,Foundation of Applied Deep Learning,DDA4220,Deep Learning and Applications
Computer Science and Engineering,ELEG2201,Digital Circuits and Computing Systems,ECE2050,Digital Logic and Systems
Computer Science and Engineering,IERG3060,Microcontrollers and Embedded Systems,ECE3080,Introduction to Embedded Systems
Computer Science and Engineering,IERG3310,Computer Networks,ECE4016,Computer Networks
Computer Science and Engineering,MATH2010,Advanced Calculus I,MAT1002,Calculus II
Electrical and Computer Engineering,CSCI1120,Introduction to Computing Using C++,CSC3002,C/C++ Programming
Electrical and Computer Engineering,CSCI2100,Data Structure,CSC3100,Data Structures
Electrical and Computer Engineering,CSCI3150,Introduction to Operating Systems,CSC3150,Operating Systems
Electrical and Computer Engineering,CSCI3230,Fundamentals of Artificial Intelligence,CSC3180,Fundamentals of Artificial Intelligence
Electrical and Computer Engineering,IERG3080,Information and Software Engineering Practice,CSC4001,Software Engineering
Electrical and Computer Engineering,CSCI4160,Distributed and Parallel Computing,CSC4005,Parallel Programming
Electrical and Computer Engineering,CSCI3320,Fundamentals of Machine Learning,DDA3020,Machine Learning
Electrical and Computer Engineering,IERG1810,Electronic Circuit Design Laboratory,ECE1810,Electronic Circuit Design Laboratory
Electrical and Computer Engineering,IERG2060,Basic Analog and Digital Circuits,ECE2001,Basic Circuit Theory
Electrical and Computer Engineering,ELEG2201,Digital Circuits and Computing Systems,ECE2050,Digital Logic and Systems
Electrical and Computer Engineering,IERG2051,Signal and Systems,ECE3001,Signals and Systems
Electrical and Computer Engineering,IERG2310,Principles of Communication Systems,ECE3050,Principles of Communication Systems
Electrical and Computer Engineering,IERG3060,Microcontrollers and Embedded Systems,ECE3080,Microprocessors and Computer Systems
Electrical and Computer Engineering,IERG3280,"Networks: Technology, Economics, and Social Interactions",ECE3280,"Networks: Technology, Economics and Society"
Electrical and Computer Engineering,ELEG3503,Introduction to Digital Signal Processing,ECE3510,Digital Signal Processing
Electrical and Computer Engineering,IERG3810,Microcontrollers and Embedded Systems Laboratory,ECE3810,Embedded Systems Laboratory
Electrical and Computer Engineering,IERG3010,Digital Communications,ECE4002,Digital Communications
Electrical and Computer Engineering,IERG4100,Wireless Communication Systems,ECE4003,Wireless Communication Systems
Electrical and Computer Engineering,CSCI3230,Fundamentals of Artificial Intelligence,ECE4010,Machine Intelligence and Applications
Electrical and Computer Engineering,IERG3310,Computer Networks,ECE4016,Computer Networks
Electrical and Computer Engineering,IERG4180,Network Software Design and Programming,ECE4180,Network Software Design and Programming
Electrical and Computer Engineering,IERG4190,Multimedia Coding and Processing,ECE4190,Multimedia Coding and Networking
Electrical and Computer Engineering,IERG3320,Social Media and Human Information Interaction,ECE4300,Systems Design in Human- Computer Interaction
Electrical and Computer Engineering,IERG4160,Image Processing and Visual Understanding,ECE4512,Digital Image Processing
Electrical and Computer Engineering,MATH2010,Advanced Calculus I,MAT1002,Calculus II
Electrical and Computer Engineering,MATH3215,Operations Research,MAT3007,Optimization
Electrical and Computer Engineering,IERG4150,Introduction to Cryptography,MAT4007,Introduction to Cryptography
Electrical and Computer Engineering,MATH4220,Partial Differential Equations,MAT4220,Partial Differential Equation
Mathematics and Applied Mathematics,SEEM4720,Computational Finance,FMA4800,Financial Computation
Mathematics and Applied Mathematics,MATH2010,Advanced Calculus I,MAT1002,Calculus II
Mathematics and Applied Mathematics,MATH3270,Ordinary Differential Equations,MAT2001,Honours Ordinary Differential Equation
Mathematics and Applied Mathematics,MATH2050,Mathematical Analysis I,MAT2050,Mathematical Analysis
Mathematics and Applied Mathematics,MATH4050,Real Analysis,MAT3006,Real Analysis
Mathematics and Applied Mathematics,MATH3215,Operations Research,MAT3007,Optimization
Mathematics and Applied Mathematics,MATH2040,Linear Algebra II,MAT3040,Advanced Linear Algebra
Mathematics and Applied Mathematics,MATH2230,Complex Variables with Applications,MAT3253,Complex Variables
Mathematics and Applied Mathematics,MATH3280,Introductory Probability,MAT3280,Probability Theory
Mathematics and Applied Mathematics,MATH3290,Mathematical Modeling,MAT3300,Mathematical Modeling
Mathematics and Applied Mathematics,MATH3230,Numerical Analysis,MAT4001,Numerical Analysis
Mathematics and Applied Mathematics,MATH4010,Functional Analysis,MAT4010,Functional Analysis
Mathematics and Applied Mathematics,MATH4030,Differential Geometry,MAT4033,Differential Geometry
Mathematics and Applied Mathematics,MATH4220,Partial Differential Equations,MAT4220,Partial Differential Equation
Mathematics and Applied Mathematics,MATH3240,Numerical Methods for Differential Equations,MAT4240,Numerical Methods for Differential Equations
Mathematics and Applied Mathematics,MATH4400,Project,MAT4400,Project
Mathematics and Applied Mathematics,MATH4240,Stochastic Processes,STA4001,Stochastic Processes
Statistics (CUHK(SZ)),CSCI1120,Introduction to Computing Using C++,CSC3002,C/C++ Programming
Statistics (CUHK(SZ)),CSCI2100,Data Structures,CSC3100,Data Structures
Statistics (CUHK(SZ)),CSCI3160,Design and Analysis of Algorithms,CSC4120,Design and Analysis of Algorithms
Statistics (CUHK(SZ)),STAT3006,Statistical Computing,DDA4002,Stochastic Simulation
Statistics (CUHK(SZ)),STAT4010,Bayesian Learning,DDA4010,Bayesian Statistics
Statistics (CUHK(SZ)),RMSC4002,Financial Data Analytics with Machine Learning,DDA4210,Advanced Machine Learning
Statistics (CUHK(SZ)),AIST4010,Foundation of Applied Deep Learning,DDA4220,Deep Learning and Applications
Statistics (CUHK(SZ)),CSC14250,Online Algorithms for Machine Learning and Optimization,DDA4230,Reinforcement Learning
Statistics (CUHK(SZ)),STAT4012,Statistical Principles of Deep Learning with Business Applications,DDA4250,Mathematical Introduction to Deep Learning
Statistics (CUHK(SZ)),ELEG2201,Digital Circuits and Computing System,ECE2050,Digital Logic and Systems
Statistics (CUHK(SZ)),MATH2010,Advanced Calculus I,MAT1002,Calculus II
Statistics (CUHK(SZ)),MATH2050,Mathematical Analysis I,MAT2050,Mathematical Analysis
Statistics (CUHK(SZ)),MATH4050,Real Analysis,MAT3006,Real Analysis
Statistics (CUHK(SZ)),MATH2040,Linear Algebra II,MAT3040,Advanced Linear Algebra
Statistics (CUHK(SZ)),MATH3280,Introductory Probability,MAT3280,Probability Theory
Statistics (CUHK(SZ)),RMSC4001,Simulation Methods for Risk Management Science and Finance,RMS4001,Simulation Methods for Risk Management and Finance
Statistics (CUHK(SZ)),RMSC4005,Stochastic Calculus for Finance and Risk,RMS4050,Stochastic Calculus for Finance and Risk
Statistics (CUHK(SZ)),SEEM3580,Risk Analysis for Financial Engineering,RMS4060,Risk Management with Derivatives
Statistics (CUHK(SZ)),RMSC4007,Risk Management with Derivatives Concepts,RMS4060,Risk Management with Derivatives
Statistics (CUHK(SZ)),STAT3005,Nonparametric Statistics,STA3007,Nonparametric Statistics
Statistics (CUHK(SZ)),MATH4240,Stochastic Processes,STA4001,Stochastic Processes
Statistics (CUHK(SZ)),STAT4002,Applied Multivariate Analysis,STA4002,Multivariate Statistical Analysis
Statistics (CUHK(SZ)),STAT4005,Time Series,STA4003,Time Series
Statistics (CUHK(SZ)),STAT4008,Survival Modelling,STA4005,Survival Modelling
Statistics (CUHK(SZ)),STAT4003,Statistical Inference,STA4100,Statistical Inference II
Statistics (CUHK(SZ)),STAT4006,Categorical Data Analysis,STA4030,Categorical Data Analysis
Statistics (CUHK(SZ)),STAT4011,Statistics Projects,STA4050,Statistical Capstone
